nodes,188
uav,123
energy,120
clustering,88
cluster,84
node,73
ch,71
sensor,68
data,65
consumption,65
network,62
algorithm,61
sink,59
approach,57
chs,54
proposed,53
number,49
heed,48
viseme,46
based,46
clusters,44
rheed,44
single,42
mobile,41
value,40
hmm,37
uncovered,37
altitude,36
power,36
speech,35
head,35
rssi,35
path,34
e,33
networks,33
area,33
link,31
models,30
values,30
exheed,30
satellite,30
figure,29
due,29
problem,28
also,28
phase,28
flow,28
therefore,27
model,27
levels,27
